Entry	Protein names	Length	Helix	Beta strand	Interacts with
O00214	Galectin-8 (Gal-8) (Po66 carbohydrate-binding protein) (Po66-CBP) (Prostate carcinoma tumor antigen 1) (PCTA-1)	317	HELIX 132..134; /evidence="ECO:0007829|PDB:5GZC"; HELIX 157..159; /evidence="ECO:0007829|PDB:6Z6Y"; HELIX 297..299; /evidence="ECO:0007829|PDB:8HL9"	STRAND 4..6; /evidence="ECO:0007829|PDB:4FQZ"; STRAND 9..14; /evidence="ECO:0007829|PDB:5GZC"; STRAND 17..22; /evidence="ECO:0007829|PDB:5GZC"; STRAND 32..38; /evidence="ECO:0007829|PDB:5GZC"; STRAND 44..53; /evidence="ECO:0007829|PDB:5GZC"; STRAND 61..69; /evidence="ECO:0007829|PDB:5GZC"; STRAND 71..73; /evidence="ECO:0007829|PDB:3VKL"; STRAND 75..82; /evidence="ECO:0007829|PDB:5GZC"; STRAND 90..92; /evidence="ECO:0007829|PDB:5GZC"; STRAND 102..109; /evidence="ECO:0007829|PDB:5GZC"; STRAND 111..118; /evidence="ECO:0007829|PDB:5GZC"; STRAND 121..127; /evidence="ECO:0007829|PDB:5GZC"; STRAND 137..143; /evidence="ECO:0007829|PDB:5GZC"; STRAND 145..152; /evidence="ECO:0007829|PDB:5GZC"; STRAND 173..176; /evidence="ECO:0007829|PDB:8HL9"; STRAND 186..193; /evidence="ECO:0007829|PDB:8HL9"; STRAND 200..207; /evidence="ECO:0007829|PDB:8HL9"; STRAND 213..219; /evidence="ECO:0007829|PDB:8HL9"; STRAND 226..233; /evidence="ECO:0007829|PDB:8HL9"; STRAND 238..245; /evidence="ECO:0007829|PDB:8HL9"; STRAND 246..249; /evidence="ECO:0007829|PDB:3VKL"; STRAND 256..258; /evidence="ECO:0007829|PDB:3OJB"; STRAND 266..273; /evidence="ECO:0007829|PDB:8HL9"; STRAND 275..282; /evidence="ECO:0007829|PDB:8HL9"; STRAND 285..291; /evidence="ECO:0007829|PDB:8HL9"; STRAND 302..317; /evidence="ECO:0007829|PDB:8HL9"	P13798; Q13137; Q9UJV3-2; Q86VP1; Q15583; P36406; O76024; P0DTC2; Q13137; P27797; P36957; Q9UJV3-2; Q96RE7; Q8TDX7; Q6NSM0; Q86VP1; Q969T9
O00237	E3 ubiquitin-protein ligase RNF103 (EC 2.3.2.27) (KF-1) (hKF-1) (RING finger protein 103) (RING-type E3 ubiquitin transferase RNF103) (Zinc finger protein 103 homolog) (Zfp-103)	685			
O00254	Proteinase-activated receptor 3 (PAR-3) (Coagulation factor II receptor-like 2) (Thrombin receptor-like 2)	374			P16333
O00268	Transcription initiation factor TFIID subunit 4 (RNA polymerase II TBP-associated factor subunit C) (TBP-associated factor 4) (Transcription initiation factor TFIID 130 kDa subunit) (TAF(II)130) (TAFII-130) (TAFII130) (Transcription initiation factor TFIID 135 kDa subunit) (TAF(II)135) (TAFII-135) (TAFII135)	1085	HELIX 585..593; /evidence="ECO:0007829|PDB:2P6V"; HELIX 599..604; /evidence="ECO:0007829|PDB:2P6V"; HELIX 614..620; /evidence="ECO:0007829|PDB:2P6V"; HELIX 623..628; /evidence="ECO:0007829|PDB:2P6V"; HELIX 634..644; /evidence="ECO:0007829|PDB:2P6V"; HELIX 653..657; /evidence="ECO:0007829|PDB:2P6V"; HELIX 661..666; /evidence="ECO:0007829|PDB:2P6V"; HELIX 671..677; /evidence="ECO:0007829|PDB:2P6V"; HELIX 843..856; /evidence="ECO:0007829|PDB:7EGG"; HELIX 875..887; /evidence="ECO:0007829|PDB:1H3O"; HELIX 898..918; /evidence="ECO:0007829|PDB:1H3O"; HELIX 923..925; /evidence="ECO:0007829|PDB:7EGF"; HELIX 940..969; /evidence="ECO:0007829|PDB:7EGG"; HELIX 1060..1065; /evidence="ECO:0007829|PDB:7EGG"; HELIX 1077..1082; /evidence="ECO:0007829|PDB:7EGG"	STRAND 932..936; /evidence="ECO:0007829|PDB:7EGG"; STRAND 1056..1058; /evidence="ECO:0007829|PDB:7EGG"; STRAND 1068..1071; /evidence="ECO:0007829|PDB:7EGG"; STRAND 1074..1076; /evidence="ECO:0007829|PDB:7EGG"	O43889; Q9NS37; P42858; Q16514; Q16514-1
O00291	Huntingtin-interacting protein 1 (HIP-1) (Huntingtin-interacting protein I) (HIP-I)	1037	HELIX 373..441; /evidence="ECO:0007829|PDB:3I00"; HELIX 462..465; /evidence="ECO:0007829|PDB:2QA7"; HELIX 482..580; /evidence="ECO:0007829|PDB:2NO2"		Q9Y614; Q96MA6; Q9Y303-2; O95782; Q9H0Y0; Q14032; Q9NSI6-4; Q8WZ55; Q13901; Q3SXR2; O00257-3; P42773; Q96M91; P09496-2; P53675; P02458-1; Q9UKG9-2; P35222; Q9NUQ9; Q15038; Q9BPU6; Q08426; Q96KS9; Q92567-2; Q8IZU1; Q06547-3; Q9UI32; Q49A26-4; Q96EW2-2; P42858; Q9UK76; Q8N5Z5; Q8N4N3-2; Q9H2C1; Q99732; Q8TBB1; Q16609; Q8IYG6; P34949-2; Q15742-2; Q8NDH3-5; P36639-4; Q6N063-2; Q8NCQ7-2; Q8WUD1-2; P54727; Q09028; Q04864; P47804-3; Q15382; Q8N5U6; Q9NS64; P22307-3; Q15393; Q9BZQ2; Q86US8; Q13573; Q8N0X7; Q9P2T0; Q5W111-2; Q96BD6; O60506-4; Q9BSW7; O15273; Q15560; Q8N8B7-2; Q96A09; P54274-2; O43548; Q9NQ88; P36406; Q9P1Q0-4; Q8NA23-2; O43829; Q8IWT0-2; Q53FD0-2; Q5JTY5; Q9EPV5; Q9CR95
O00300	Tumor necrosis factor receptor superfamily member 11B (Osteoclastogenesis inhibitory factor) (Osteoprotegerin)	401		STRAND 29..31; /evidence="ECO:0007829|PDB:3URF"; STRAND 35..37; /evidence="ECO:0007829|PDB:3URF"; STRAND 40..42; /evidence="ECO:0007829|PDB:3URF"; STRAND 48..52; /evidence="ECO:0007829|PDB:3URF"; STRAND 56..58; /evidence="ECO:0007829|PDB:3URF"; STRAND 61..64; /evidence="ECO:0007829|PDB:3URF"; STRAND 91..95; /evidence="ECO:0007829|PDB:3URF"; STRAND 99..101; /evidence="ECO:0007829|PDB:3URF"; STRAND 104..107; /evidence="ECO:0007829|PDB:3URF"; STRAND 111..114; /evidence="ECO:0007829|PDB:3URF"; STRAND 117..120; /evidence="ECO:0007829|PDB:3URF"; STRAND 128..132; /evidence="ECO:0007829|PDB:3URF"; STRAND 136..138; /evidence="ECO:0007829|PDB:3URF"; STRAND 141..144; /evidence="ECO:0007829|PDB:3URF"; STRAND 155..157; /evidence="ECO:0007829|PDB:3URF"; STRAND 167..171; /evidence="ECO:0007829|PDB:3URF"	P42858; P49768-2; O14788
O00322	Uroplakin-1a (UP1a) (Tetraspanin-21) (Tspan-21) (Uroplakin Ia) (UPIa) (UPKa)	258			P35247; P08191
O00329	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform (PI3-kinase subunit delta) (PI3K-delta) (PI3Kdelta) (PtdIns-3-kinase subunit delta) (EC 2.7.1.137) (EC 2.7.1.153) (Phosphatidylinositol 4,5-bisphosphate 3-kinase 110 kDa catalytic subunit delta) (PtdIns-3-kinase subunit p110-delta) (p110delta)	1044	HELIX 42..53; /evidence="ECO:0007829|PDB:6PYR"; HELIX 59..61; /evidence="ECO:0007829|PDB:6PYR"; HELIX 65..67; /evidence="ECO:0007829|PDB:6PYR"; HELIX 89..92; /evidence="ECO:0007829|PDB:6PYR"; HELIX 108..120; /evidence="ECO:0007829|PDB:6PYR"; HELIX 126..129; /evidence="ECO:0007829|PDB:6PYR"; HELIX 134..155; /evidence="ECO:0007829|PDB:6PYR"; HELIX 159..166; /evidence="ECO:0007829|PDB:6PYR"; HELIX 213..225; /evidence="ECO:0007829|PDB:6PYR"; HELIX 236..238; /evidence="ECO:0007829|PDB:7JIS"; HELIX 256..258; /evidence="ECO:0007829|PDB:6PYR"; HELIX 260..268; /evidence="ECO:0007829|PDB:6PYR"; HELIX 279..286; /evidence="ECO:0007829|PDB:6PYR"; HELIX 316..318; /evidence="ECO:0007829|PDB:7JIS"; HELIX 381..383; /evidence="ECO:0007829|PDB:6PYR"; HELIX 488..495; /evidence="ECO:0007829|PDB:6PYR"; HELIX 505..515; /evidence="ECO:0007829|PDB:6PYR"; HELIX 525..533; /evidence="ECO:0007829|PDB:6PYR"; HELIX 535..541; /evidence="ECO:0007829|PDB:6PYR"; HELIX 543..545; /evidence="ECO:0007829|PDB:6PYR"; HELIX 546..552; /evidence="ECO:0007829|PDB:6PYR"; HELIX 558..570; /evidence="ECO:0007829|PDB:6PYR"; HELIX 576..582; /evidence="ECO:0007829|PDB:6PYR"; HELIX 590..600; /evidence="ECO:0007829|PDB:6PYR"; HELIX 605..617; /evidence="ECO:0007829|PDB:6PYR"; HELIX 618..621; /evidence="ECO:0007829|PDB:6PYR"; HELIX 628..639; /evidence="ECO:0007829|PDB:6PYR"; HELIX 641..652; /evidence="ECO:0007829|PDB:6PYR"; HELIX 661..673; /evidence="ECO:0007829|PDB:6PYR"; HELIX 676..703; /evidence="ECO:0007829|PDB:6PYR"; HELIX 708..719; /evidence="ECO:0007829|PDB:6PYR"; HELIX 722..728; /evidence="ECO:0007829|PDB:6PYR"; HELIX 746..748; /evidence="ECO:0007829|PDB:6PYR"; HELIX 770..772; /evidence="ECO:0007829|PDB:6PYU"; HELIX 785..803; /evidence="ECO:0007829|PDB:6PYR"; HELIX 834..839; /evidence="ECO:0007829|PDB:6PYR"; HELIX 854..862; /evidence="ECO:0007829|PDB:6PYR"; HELIX 865..867; /evidence="ECO:0007829|PDB:6PYR"; HELIX 868..889; /evidence="ECO:0007829|PDB:6PYR"; HELIX 936..942; /evidence="ECO:0007829|PDB:6PYR"; HELIX 950..969; /evidence="ECO:0007829|PDB:6PYR"; HELIX 971..981; /evidence="ECO:0007829|PDB:6PYR"; HELIX 982..984; /evidence="ECO:0007829|PDB:6PYR"; HELIX 992..1001; /evidence="ECO:0007829|PDB:6PYR"; HELIX 1008..1031; /evidence="ECO:0007829|PDB:6PYR"	STRAND 19..25; /evidence="ECO:0007829|PDB:6PYR"; STRAND 31..37; /evidence="ECO:0007829|PDB:6PYR"; STRAND 68..74; /evidence="ECO:0007829|PDB:6PYR"; STRAND 79..81; /evidence="ECO:0007829|PDB:6PYR"; STRAND 86..88; /evidence="ECO:0007829|PDB:6OCO"; STRAND 94..103; /evidence="ECO:0007829|PDB:6PYR"; STRAND 121..123; /evidence="ECO:0007829|PDB:8BCY"; STRAND 189..196; /evidence="ECO:0007829|PDB:6PYR"; STRAND 202..208; /evidence="ECO:0007829|PDB:6PYR"; STRAND 239..243; /evidence="ECO:0007829|PDB:6PYR"; STRAND 248..250; /evidence="ECO:0007829|PDB:6PYU"; STRAND 252..254; /evidence="ECO:0007829|PDB:6PYR"; STRAND 273..278; /evidence="ECO:0007829|PDB:6PYR"; STRAND 321..332; /evidence="ECO:0007829|PDB:6PYR"; STRAND 339..349; /evidence="ECO:0007829|PDB:6PYR"; STRAND 352..355; /evidence="ECO:0007829|PDB:6PYR"; STRAND 366..368; /evidence="ECO:0007829|PDB:7LQ1"; STRAND 370..380; /evidence="ECO:0007829|PDB:6PYR"; STRAND 389..397; /evidence="ECO:0007829|PDB:6PYR"; STRAND 416..426; /evidence="ECO:0007829|PDB:6PYR"; STRAND 430..432; /evidence="ECO:0007829|PDB:6PYR"; STRAND 435..440; /evidence="ECO:0007829|PDB:6PYR"; STRAND 455..457; /evidence="ECO:0007829|PDB:6OCU"; STRAND 470..475; /evidence="ECO:0007829|PDB:6PYR"; STRAND 479..481; /evidence="ECO:0007829|PDB:6PYR"; STRAND 517..519; /evidence="ECO:0007829|PDB:5M6U"; STRAND 623..626; /evidence="ECO:0007829|PDB:6PYR"; STRAND 704..706; /evidence="ECO:0007829|PDB:5VLR"; STRAND 729..732; /evidence="ECO:0007829|PDB:6PYR"; STRAND 739..741; /evidence="ECO:0007829|PDB:6PYR"; STRAND 753..756; /evidence="ECO:0007829|PDB:8BCY"; STRAND 759..764; /evidence="ECO:0007829|PDB:6PYR"; STRAND 774..782; /evidence="ECO:0007829|PDB:6PYR"; STRAND 815..819; /evidence="ECO:0007829|PDB:6PYR"; STRAND 822..826; /evidence="ECO:0007829|PDB:6PYR"; STRAND 829..833; /evidence="ECO:0007829|PDB:6PYR"; STRAND 899..902; /evidence="ECO:0007829|PDB:6PYR"; STRAND 907..909; /evidence="ECO:0007829|PDB:6PYR"; STRAND 989..991; /evidence="ECO:0007829|PDB:5VLR"	P01112; P27986; P27986-2; Q92569; P01112
O00330	Pyruvate dehydrogenase protein X component, mitochondrial (Dihydrolipoamide dehydrogenase-binding protein of pyruvate dehydrogenase complex) (E3-binding protein) (E3BP) (Lipoyl-containing pyruvate dehydrogenase complex component X) (proX)	501	HELIX 180..183; /evidence="ECO:0007829|PDB:2F60"; HELIX 186..194; /evidence="ECO:0007829|PDB:2F60"; HELIX 199..201; /evidence="ECO:0007829|PDB:2F60"; HELIX 207..209; /evidence="ECO:0007829|PDB:2F60"; HELIX 213..230; /evidence="ECO:0007829|PDB:2F60"	STRAND 57..60; /evidence="ECO:0007829|PDB:2DNC"; STRAND 69..71; /evidence="ECO:0007829|PDB:2DNC"; STRAND 73..78; /evidence="ECO:0007829|PDB:2DNC"; STRAND 88..94; /evidence="ECO:0007829|PDB:2DNC"; STRAND 99..103; /evidence="ECO:0007829|PDB:2DNC"; STRAND 108..112; /evidence="ECO:0007829|PDB:2DNC"; STRAND 122..125; /evidence="ECO:0007829|PDB:2DNC"; STRAND 127..132; /evidence="ECO:0007829|PDB:2DNC"	Q6RW13; Q9UHD4; P09622; Q9Y6E7
O00337	Sodium/nucleoside cotransporter 1 (Concentrative nucleoside transporter 1) (CNT 1) (hCNT1) (Na(+)/nucleoside cotransporter 1) (Sodium-coupled nucleoside transporter 1) (Solute carrier family 28 member 1)	649			
O00400	Acetyl-coenzyme A transporter 1 (AT-1) (Acetyl-CoA transporter 1) (Solute carrier family 33 member 1)	549			P13569
O00409	Forkhead box protein N3 (Checkpoint suppressor 1)	490	HELIX 119..129; /evidence="ECO:0007829|PDB:6NCE"; HELIX 137..147; /evidence="ECO:0007829|PDB:6NCE"; HELIX 149..152; /evidence="ECO:0007829|PDB:6NCE"; HELIX 158..168; /evidence="ECO:0007829|PDB:6NCE"; HELIX 196..205; /evidence="ECO:0007829|PDB:6NCE"	STRAND 133..135; /evidence="ECO:0007829|PDB:6NCE"; STRAND 172..175; /evidence="ECO:0007829|PDB:6NCE"; STRAND 188..191; /evidence="ECO:0007829|PDB:6NCE"	Q13573
O00422	Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)	153	HELIX 43..45; /evidence="ECO:0007829|PDB:2HDE"; HELIX 66..76; /evidence="ECO:0007829|PDB:2HDE"; HELIX 78..81; /evidence="ECO:0007829|PDB:2HDE"; HELIX 122..125; /evidence="ECO:0007829|PDB:2HDE"	STRAND 28..37; /evidence="ECO:0007829|PDB:2HDE"; STRAND 55..60; /evidence="ECO:0007829|PDB:2HDE"; STRAND 86..91; /evidence="ECO:0007829|PDB:2HDE"; STRAND 95..98; /evidence="ECO:0007829|PDB:2HDE"; STRAND 104..112; /evidence="ECO:0007829|PDB:2HDE"; STRAND 132..138; /evidence="ECO:0007829|PDB:2HDE"; STRAND 144..147; /evidence="ECO:0007829|PDB:2HDE"	Q9H4E7; Q13547; Q0VD86; Q96HA8; Q9H307; Q14498; Q14498-3; O43665; Q07955
O00444	Serine/threonine-protein kinase PLK4 (EC 2.7.11.21) (Polo-like kinase 4) (PLK-4) (Serine/threonine-protein kinase 18) (Serine/threonine-protein kinase Sak)	970	HELIX 2..5; /evidence="ECO:0007829|PDB:3COK"; HELIX 9..11; /evidence="ECO:0007829|PDB:3COK"; HELIX 45..50; /evidence="ECO:0007829|PDB:3COK"; HELIX 54..64; /evidence="ECO:0007829|PDB:3COK"; HELIX 97..102; /evidence="ECO:0007829|PDB:3COK"; HELIX 110..129; /evidence="ECO:0007829|PDB:3COK"; HELIX 139..141; /evidence="ECO:0007829|PDB:3COK"; HELIX 193..206; /evidence="ECO:0007829|PDB:3COK"; HELIX 217..225; /evidence="ECO:0007829|PDB:4JXF"; HELIX 236..245; /evidence="ECO:0007829|PDB:3COK"; HELIX 250..252; /evidence="ECO:0007829|PDB:3COK"; HELIX 256..259; /evidence="ECO:0007829|PDB:3COK"; HELIX 587..590; /evidence="ECO:0007829|PDB:4N9J"; HELIX 651..654; /evidence="ECO:0007829|PDB:4N9J"; HELIX 675..677; /evidence="ECO:0007829|PDB:4N9J"; HELIX 680..682; /evidence="ECO:0007829|PDB:4N9J"; HELIX 683..698; /evidence="ECO:0007829|PDB:4N9J"; HELIX 755..759; /evidence="ECO:0007829|PDB:4N9J"; HELIX 765..793; /evidence="ECO:0007829|PDB:4N9J"; HELIX 946..961; /evidence="ECO:0007829|PDB:5LHZ"	STRAND 12..20; /evidence="ECO:0007829|PDB:3COK"; STRAND 22..31; /evidence="ECO:0007829|PDB:3COK"; STRAND 37..44; /evidence="ECO:0007829|PDB:3COK"; STRAND 75..80; /evidence="ECO:0007829|PDB:3COK"; STRAND 82..90; /evidence="ECO:0007829|PDB:3COK"; STRAND 104..106; /evidence="ECO:0007829|PDB:4JXF"; STRAND 142..144; /evidence="ECO:0007829|PDB:3COK"; STRAND 150..152; /evidence="ECO:0007829|PDB:3COK"; STRAND 602..605; /evidence="ECO:0007829|PDB:4N9J"; STRAND 607..613; /evidence="ECO:0007829|PDB:4N9J"; STRAND 619..627; /evidence="ECO:0007829|PDB:4N9J"; STRAND 630..639; /evidence="ECO:0007829|PDB:4N9J"; STRAND 645..649; /evidence="ECO:0007829|PDB:4N9J"; STRAND 671..674; /evidence="ECO:0007829|PDB:4N9J"; STRAND 700..706; /evidence="ECO:0007829|PDB:4N9J"; STRAND 708..716; /evidence="ECO:0007829|PDB:4N9J"; STRAND 723..727; /evidence="ECO:0007829|PDB:4N9J"; STRAND 732..735; /evidence="ECO:0007829|PDB:4N9J"; STRAND 740..743; /evidence="ECO:0007829|PDB:4N9J"; STRAND 749..752; /evidence="ECO:0007829|PDB:4N9J"; STRAND 800..804; /evidence="ECO:0007829|PDB:4N9J"; STRAND 887..893; /evidence="ECO:0007829|PDB:5LHZ"; STRAND 897..902; /evidence="ECO:0007829|PDB:5LHZ"; STRAND 905..911; /evidence="ECO:0007829|PDB:5LHZ"; STRAND 916..922; /evidence="ECO:0007829|PDB:5LHZ"; STRAND 924..929; /evidence="ECO:0007829|PDB:5LHZ"; STRAND 935..939; /evidence="ECO:0007829|PDB:5LHZ"	Q9NX04; P36575; Q9Y297; A6NKD9; O94986; O94986-3; Q8TEP8; Q8TEP8-3; P59910; Q9H8V3; Q14241; O95995; Q9H4L5; P07237; O00444; P31947; Q96R06; Q15468; Q96A09; Q9UBB9; Q9BYV2; P62258; Q04917; O15060; P39009; P47141; Q02793; P18961
O00453	Leukocyte-specific transcript 1 protein (Protein B144)	97			
O00462	Beta-mannosidase (EC 3.2.1.25) (Lysosomal beta A mannosidase) (Mannanase) (Mannase)	879			
O00478	Butyrophilin subfamily 3 member A3	584	HELIX 91..93; /evidence="ECO:0007829|PDB:4F8T"; HELIX 104..106; /evidence="ECO:0007829|PDB:4F8T"; HELIX 118..120; /evidence="ECO:0007829|PDB:4F8T"; HELIX 328..336; /evidence="ECO:0007829|PDB:6J0G"; HELIX 427..429; /evidence="ECO:0007829|PDB:6J0G"	STRAND 32..34; /evidence="ECO:0007829|PDB:4F8T"; STRAND 40..43; /evidence="ECO:0007829|PDB:4F8T"; STRAND 48..56; /evidence="ECO:0007829|PDB:4F8T"; STRAND 63..69; /evidence="ECO:0007829|PDB:4F8T"; STRAND 74..80; /evidence="ECO:0007829|PDB:4F8T"; STRAND 96..100; /evidence="ECO:0007829|PDB:4F8T"; STRAND 108..115; /evidence="ECO:0007829|PDB:4F8T"; STRAND 122..130; /evidence="ECO:0007829|PDB:4F8T"; STRAND 133..145; /evidence="ECO:0007829|PDB:4F8T"; STRAND 151..158; /evidence="ECO:0007829|PDB:4F8T"; STRAND 161..173; /evidence="ECO:0007829|PDB:4F8T"; STRAND 176..181; /evidence="ECO:0007829|PDB:4F8T"; STRAND 202..210; /evidence="ECO:0007829|PDB:4F8T"; STRAND 218..224; /evidence="ECO:0007829|PDB:4F8T"; STRAND 229..235; /evidence="ECO:0007829|PDB:4F8T"; STRAND 337..339; /evidence="ECO:0007829|PDB:6J0G"; STRAND 353..355; /evidence="ECO:0007829|PDB:6J0G"; STRAND 359..364; /evidence="ECO:0007829|PDB:6J0G"; STRAND 379..381; /evidence="ECO:0007829|PDB:6J0G"; STRAND 383..387; /evidence="ECO:0007829|PDB:6J0G"; STRAND 390..400; /evidence="ECO:0007829|PDB:6J0G"; STRAND 407..413; /evidence="ECO:0007829|PDB:6J0G"; STRAND 418..421; /evidence="ECO:0007829|PDB:5ZZ3"; STRAND 431..437; /evidence="ECO:0007829|PDB:6J0G"; STRAND 441..444; /evidence="ECO:0007829|PDB:6J0G"; STRAND 446..448; /evidence="ECO:0007829|PDB:5ZZ3"; STRAND 450..452; /evidence="ECO:0007829|PDB:6J0L"; STRAND 459..466; /evidence="ECO:0007829|PDB:6J0G"; STRAND 471..476; /evidence="ECO:0007829|PDB:6J0G"; STRAND 482..485; /evidence="ECO:0007829|PDB:6J0G"; STRAND 495..500; /evidence="ECO:0007829|PDB:6J0G"; STRAND 509..511; /evidence="ECO:0007829|PDB:6J0G"	O00481
O00487	Ubiquitin C-terminal hydrolase PSMD14 (EC 3.4.19.12) (26S proteasome non-ATPase regulatory subunit 14) (26S proteasome regulatory subunit RPN11) (26S proteasome-associated PAD1 homolog 1)	310	HELIX 35..47; /evidence="ECO:0007829|PDB:9E8J"; HELIX 84..86; /evidence="ECO:0007829|PDB:9E8J"; HELIX 89..102; /evidence="ECO:0007829|PDB:9E8J"; HELIX 124..136; /evidence="ECO:0007829|PDB:9E8J"; HELIX 165..168; /evidence="ECO:0007829|PDB:9E8J"; HELIX 189..192; /evidence="ECO:0007829|PDB:9E8J"; HELIX 214..217; /evidence="ECO:0007829|PDB:9E8J"; HELIX 218..221; /evidence="ECO:0007829|PDB:9E8J"; HELIX 234..261; /evidence="ECO:0007829|PDB:9E8J"; HELIX 267..273; /evidence="ECO:0007829|PDB:9E8J"; HELIX 286..308; /evidence="ECO:0007829|PDB:9E8J"	STRAND 30..33; /evidence="ECO:0007829|PDB:9E8J"; STRAND 54..63; /evidence="ECO:0007829|PDB:9E8J"; STRAND 66..75; /evidence="ECO:0007829|PDB:9E8J"; STRAND 107..113; /evidence="ECO:0007829|PDB:9E8J"; STRAND 141..143; /evidence="ECO:0007829|PDB:9E8J"; STRAND 159..162; /evidence="ECO:0007829|PDB:9E8J"; STRAND 181..184; /evidence="ECO:0007829|PDB:9E8J"; STRAND 200..207; /evidence="ECO:0007829|PDB:9E8J"	Q9C005; Q8IZU0; P42858; P50222; Q9UNM6; Q15008; P51665; P0DTC5
O00505	Importin subunit alpha-4 (Importin alpha Q2) (Qip2) (Karyopherin subunit alpha-3) (SRP1-gamma)	521			Q9GZX7; X5D778; B3KTP4; Q7L5A3; Q8TBE0; Q15059-2; Q68D86; P46527; Q9NR30; P19447; Q92731-3; Q86YD7; P02792; Q13322-4; Q96MH2; P07910; Q00613; P42858; Q92993; Q14974; Q8NA19-2; P45984; Q9NZL9; Q13330; Q9HAN9; P06748; Q9UKX7; Q9BUI4; P43351; Q96P16; Q8WWX8; Q8WWX8-3; Q96LM6; P0DTL5; Q96KP6; Q9Y5U2; Q2YD98; O43167; Q8TBK6; Q6PEW1; P36508; Q96H86; Q9BRL8; K9N643; P03427; P38128; Q12259
O00506	Serine/threonine-protein kinase 25 (EC 2.7.11.1) (Ste20-like kinase) (Sterile 20/oxidant stress-response kinase 1) (SOK-1) (Ste20/oxidant stress response kinase 1)	426	HELIX 8..10; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 16..18; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 57..59; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 60..71; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 103..106; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 114..133; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 143..145; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 179..181; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 184..187; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 195..210; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 220..226; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 241..250; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 255..257; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 261..264; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 268..273; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 277..280; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 281..292; /evidence="ECO:0007829|PDB:7Z4V"; HELIX 357..360; /evidence="ECO:0007829|PDB:3W8H"; HELIX 362..374; /evidence="ECO:0007829|PDB:3W8H"; HELIX 381..396; /evidence="ECO:0007829|PDB:3W8H"; HELIX 400..414; /evidence="ECO:0007829|PDB:3W8H"	STRAND 20..27; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 32..39; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 45..52; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 81..87; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 90..96; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 146..148; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 154..156; /evidence="ECO:0007829|PDB:7Z4V"; STRAND 170..172; /evidence="ECO:0007829|PDB:7Z4V"	Q9Y376; O95273; Q8NHQ1; Q08379; A6NEM1; Q8IYA8; Q9BUL8; Q9Y6E0; O43815; P14373; P63104; Q62839
O00507	Ubiquitin carboxyl-terminal hydrolase 9Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	2555			
